symbol;nazwa
141103;General Manager hotelu
141103;KIEROWNIK HOTELU
141103;Zastępca kierownika  /  dyrektora hotelu
141104;KIEROWNIK PENSJONATU
141104;Zastępca kierownika pensjonatu
141190;POZOSTALI KIEROWNICY W HOTELARSTWIE
141190;Zastępcy pozostałych kierowników w hotelarstwie
141201;KIEROWNIK DZIAŁU W LOKALU GASTRONOMICZNYM
141201;Zastępca kierownika działu w lokalu gastronomicznym
141202;KIEROWNIK LOKALU GASTRONOMICZNEGO
141202;Zastępca kierownika lokalu gastronomicznego
141203;KIEROWNIK DO SPRAW KATERINGU
141203;Zastępca kierownika do spraw kateringu
141290;POZOSTALI KIEROWNICY W GASTRONOMII
141290;Zastępcy pozostałych kierowników w gastronomii
142001;KIEROWNIK DZIAŁU W HANDLU DETALICZNYM
142001;Zastępca kierownika działu w handlu detalicznym
142002;KIEROWNIK DZIAŁU W HANDLU HURTOWYM
142002;Zastępca kierownika działu w handlu hurtowym
142003;KIEROWNIK HURTOWNI
142003;Zastępca kierownika hurtowni
142004;KIEROWNIK SKLEPU  /  SUPERMARKETU
142004;Zastępca kierownika sklepu  /  supermarketu
142005;KIEROWNIK APTEKI
142005;Zastępca kierownika apteki
142006;KIEROWNIK SIECI SKLEPÓW
142090;POZOSTALI KIEROWNICY W HANDLU DETALICZNYM I HURTOWYM
142090;Zastępcy pozostałych kierowników w handlu detalicznym i hurtowym
143101;KIEROWNIK AGENCJI DO SPRAW USŁUG SPORTOWYCH  /  TURYSTYCZNYCH  /  KULTURALNYCH
143101;Zastępca kierownika agencji do spraw usług sportowych  /  turystycznych  /  kulturalnych
143102;KIEROWNIK OBIEKTU SPORTOWEGO
143103;KIEROWNIK OGRODU ZOOLOGICZNEGO
143104;KIEROWNIK ZAKŁADU BUKMACHERSKIEGO  /  KOLEKTURY  /  LOTERII
143105;Dyrektor domu kultury
143105;KIEROWNIK DOMU KULTURY
143105;Zastępca kierownika  /  dyrektora domu kultury
143107;Dyrektor kasyna
143107;KIEROWNIK KASYNA
143107;Zastępca kierownika  /  dyrektora kasyna
143108;Dyrektor kina
143108;KIEROWNIK KINA
143108;Zastępca kierownika  /  dyrektora kina
143109;KIEROWNIK KLUBU FITNESS
143109;Zastępca kierownika klubu fitness
143110;Dyrektor klubu sportowego
143110;KIEROWNIK KLUBU SPORTOWEGO
143110;Zastępca kierownika  /  dyrektora klubu sportowego
143112;Dyrektor parku rozrywki  /  cyrku
143112;KIEROWNIK PARKU ROZRYWKI / CYRKU
143112;Zastępca kierownika  /  dyrektora parku rozrywki  /  cyrku
143114;KIEROWNIK SIŁOWNI
143114;Zastępca kierownika siłowni
143115;KIEROWNIK SZKÓŁKI JEŹDZIECKIEJ
143115;Zastępca kierownika szkółki jeździeckiej
143116;DYREKTOR TEATRU
143116;Kierownik teatru
143116;Zastępca kierownika  /  dyrektora teatru
143117;KIEROWNIK SZKOŁY TAŃCA
143117;Zastępca kierownika szkoły tańca
143118;Dyrektor baletu
143118;DYREKTOR FILIHARMONII / OPERY / OPERETKI / ORKIESTRY
143118;Zastępca dyrektora / kierownika filiharmonii / baletu / opery / operetki / orkiestry
143119;DYREKTOR ZESPOŁU PIEŚNI I TAŃCA / CHÓRU
