pkd07;pkd25;Nazwa grupowania PKD 2007;Nazwa grupowania PKD 2025;Opis zakresu klasy/podklasy
1320;2399;Produkcja tkanin;Produkcja pozostałych wyrobów z mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana;produkcja tkanych nici węglowych
1330;1330;Wykończanie wyrobów włókienniczych;Wykańczanie wyrobów tekstylnych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1391;1391;Produkcja dzianin metrażowych;Produkcja dzianin metrażowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1392;1392;Produkcja gotowych wyrobów tekstylnych;Produkcja wyrobów tekstylnych dla gospodarstw domowych i gotowych artykułów wyposażenia wnętrz;"produkcja gotowych wyrobów tekstylnych dla gospodarstw domowych, w tym dziane, na przykład:  koce, w tym pledy podróżne, bielizna pościelowa, stołowa, toaletowa lub kuchenna, kołdry, pierzyny, jaśki, pufy, poduszki, śpiwory;  produkcja gotowych artykułów wyposażenia wnętrz: zasłony, falbany, narzuty na łóżko; flagi, banery, proporczyki; ścierki do kurzu, ścierki do naczyń i podobne artykuły; produkcja włókienniczej części koców elektrycznych; produkcja ręcznie tkanych gobelinów"
1392;1396;Produkcja gotowych wyrobów tekstylnych;Produkcja pozostałych technicznych i przemysłowych wyrobów tekstylnych;produkcja plandek, namiotów, materacy pneumatycznych, żagli, spadochronów, wyrobów tekstylnych do żaluzji i zasłon przeciwsłonecznych, luźnych nakryć na samochody, maszyny lub meble
1393;1393;Produkcja dywanów i chodników;Produkcja dywanów i chodników;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1394;1394;Produkcja wyrobów powroźniczych, lin, szpagatów i wyrobów sieciowych;Produkcja wyrobów powroźniczych, lin, szpagatów i wyrobów sieciowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1395;1395;Produkcja włóknin i wyrobów wykonanych z włóknin, z wyłączeniem odzieży;Produkcja włóknin i wyrobów wykonanych z włókniny;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1396;1396;Produkcja pozostałych technicznych i przemysłowych wyrobów tekstylnych;Produkcja pozostałych technicznych i przemysłowych wyrobów tekstylnych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1399;1399;Produkcja pozostałych wyrobów tekstylnych, gdzie indziej niesklasyfikowana;Produkcja pozostałych wyrobów tekstylnych, gdzie indziej niesklasyfikowana;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1411;1424;Produkcja odzieży skórzanej;Produkcja odzieży skórzanej i wyrobów futrzarskich;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1412;1423;Produkcja odzieży roboczej;Produkcja odzieży roboczej;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1413;1410;Produkcja pozostałej odzieży wierzchniej;Produkcja odzieży dzianej; produkcja odzieży dzianej, na przykład pulowerów, swetrów rozpinanych, bluz, koszul, T-shirtów, bluzek, kamizelek, bielizny osobistej i nocnej, odzieży niemowlęcej
1413;1421;Produkcja pozostałej odzieży wierzchniej;Produkcja odzieży wierzchniej;"produkcja odzieży wierzchniej, innej niż dzianej lub szydełkowanej, na przykład płaszczy, garniturów, kompletów, kurtek, spodni, spódnic, koszul, T-shirtów, bluzek; suknie ślubne i podobna odzież ceremonialna; szycie na miarę"
1414;1410;Produkcja bielizny;Produkcja odzieży dzianej;produkcja odzieży dzianej, na przykład koszul, T-shirtów, bluzek, bielizny osobistej i nocnej
1414;1421;Produkcja bielizny;Produkcja odzieży wierzchniej;produkcja odzieży dzianej, na przykład koszul, T-shirtów, bluzek
1414;1422;Produkcja bielizny;Produkcja bielizny;"produkcja bielizny osobistej i nocnej, innej niż z dzianin lub szydełkowanej, na przykład kalesonów, majtek, piżam, koszul nocnych, szlafroków, halek, biustonoszy, gorsetów, strojów kąpielowych, bielizny niemowlęcej; produkcja biustonoszy i gorsetów"
1419;1410;Produkcja pozostałej odzieży i dodatków do odzieży;Produkcja odzieży dzianej;"produkcja dzianej odzieży dziecięcej; produkcja odzieży sportowej i strojów kąpielowych z dzianin"
1419;1421;Produkcja pozostałej odzieży i dodatków do odzieży;Produkcja odzieży wierzchniej;"produkcja odzieży niemowlęcej innej niż dzianej, wyłącznie odzieży wierzchniej;"
1419;1422;Produkcja pozostałej odzieży i dodatków do odzieży;Produkcja bielizny;"produkcja bielizny niemowlęcej, innej niż z dzianin;  produkcja strojów kąpielowych, innych niż z dzianin"
1419;1429;Produkcja pozostałej odzieży i dodatków do odzieży;Produkcja pozostałej odzieży i dodatków do odzieży, gdzie indziej niesklasyfikowana;"produkcja odzieży sportowej z tkanin o szerokim splocie, na przykład dresów, kombinezonów narciarskich i innej technicznej odzieży sportowej; produkcja kapeluszy i czapek; produkcja pozostałych dodatków odzieżowych, na przykład rękawiczek, pasków, szali, krawatów, fularów, siatek na włosy; produkcja obuwia z materiałów włókienniczych bez nakładanych podeszew, z wyjątkiem dzianych lub szydełkowanych"
1420;1424;Produkcja wyrobów futrzarskich;Produkcja odzieży skórzanej i wyrobów futrzarskich;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
1431;1410;Produkcja wyrobów pończoszniczych;Produkcja odzieży dzianej;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
